Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,LBH,LBD,LBA,WHH,WHD,WHA,EloHome,EloAway
SC2,05/08/00,Arbroath,Partick,1,1,D,1,1,D,1456,Mike Ritchie,8,7,4,3,0,0,3,2,10,6,1,7,3,0,0,0,30,0,,,,2.37,3.5,2.37,1224.41,1217.99
SC2,05/08/00,Queens Park,Berwick,1,0,H,0,0,D,821,Cammy Melville,13,5,8,0,0,0,8,3,16,20,1,1,2,2,0,2,20,70,,,,2.37,3.5,2.37,1258.02,1261.96
SC2,05/08/00,Stenhousemuir,Queen of Sth,4,3,H,3,0,H,520,Bobby Orr,13,13,9,8,0,1,9,4,24,16,1,2,2,0,0,1,20,25,,,,2.1,3.5,2.75,1171.8,1181.9
SC2,05/08/00,Stirling,Clydebank,2,2,D,1,2,A,779,Kenny Clark,13,14,5,10,1,0,5,5,12,18,4,7,0,1,0,0,0,10,,,,2.5,3.6,2.25,1171.92,1131.48
SC2,05/08/00,Stranraer,Forfar,2,0,H,0,0,D,437,Brian Cassidy,6,5,5,3,0,0,8,6,9,14,4,6,0,0,0,0,0,0,,,,1.83,3.5,3.4,1203.36,1213.84
SC2,12/08/00,Berwick,Arbroath,2,1,H,2,1,H,458,John Underhill,17,14,7,7,0,0,3,9,14,14,7,1,2,3,0,0,20,30,,,,2.62,3.4,2.2,1252.83,1220.7
SC2,12/08/00,Clydebank,Stenhousemuir,1,0,H,0,0,D,236,Kevin Toner,9,9,4,2,0,1,6,2,13,12,5,1,0,0,0,0,0,0,,,,1.72,3.4,4.0,1136.27,1181.14
SC2,12/08/00,Forfar,Queens Park,0,1,A,0,0,D,515,Ian Frickleton,7,7,3,4,0,0,3,5,17,13,3,4,3,2,0,0,30,20,,,,2.25,3.5,2.5,1204.49,1267.15
SC2,12/08/00,Partick,Stranraer,2,1,H,1,0,H,2357,Steven Kaney,14,5,9,2,0,0,8,4,11,10,8,2,1,1,0,0,10,10,,,,1.8,3.4,3.6,1221.7,1212.71
SC2,12/08/00,Queen of Sth,Stirling,0,0,D,0,0,D,1168,Colin Hardie,12,11,3,2,2,1,3,5,10,17,2,1,2,3,0,0,20,30,,,,2.5,3.5,2.25,1172.56,1167.13
SC2,19/08/00,Arbroath,Clydebank,1,0,H,1,0,H,691,John Fleming,8,6,5,3,0,1,8,3,11,11,2,5,0,5,0,0,0,50,2.35,3.5,2.35,2.37,3.5,2.37,1212.74,1146.8
SC2,19/08/00,Queens Park,Queen of Sth,1,0,H,1,0,H,909,Alan Gemmill,9,12,3,3,0,0,5,9,9,9,1,1,1,3,0,0,10,30,1.7,3.5,3.75,1.9,3.4,3.25,1280.99,1168.88
SC2,19/08/00,Stenhousemuir,Partick,4,0,H,3,0,H,1542,Gary Mitchell,12,28,6,14,0,4,6,12,15,13,0,3,3,0,0,1,30,25,2.25,3.5,2.5,2.62,3.5,2.2,1170.61,1230.4
SC2,19/08/00,Stirling,Forfar,3,3,D,2,2,D,605,Eric Martindale,12,14,5,8,1,1,7,5,11,22,5,3,3,2,0,1,30,45,1.65,3.6,4.0,1.72,3.6,3.75,1170.81,1190.65
SC2,19/08/00,Stranraer,Berwick,2,2,D,0,0,D,485,Brian McGarry,12,11,6,6,0,0,7,2,13,21,7,3,4,4,0,1,40,65,,,,1.72,3.6,3.75,1204.01,1260.79
SC2,26/08/00,Clydebank,Queen of Sth,1,2,A,1,1,D,360,Dougie Smith,10,11,6,4,0,1,9,8,17,23,2,5,0,5,0,0,0,50,1.65,3.6,4.0,1.5,3.8,5.0,1139.85,1163.19
SC2,26/08/00,Forfar,Stenhousemuir,2,2,D,1,2,A,381,Alan Freeland,9,9,3,4,1,1,8,4,10,12,1,2,4,2,0,0,40,20,2.5,3.5,2.25,2.75,3.5,2.1,1193.48,1181.67
SC2,26/08/00,Partick,Berwick,1,1,D,0,1,A,2060,Campell Carson,10,10,3,4,0,0,8,4,13,14,3,0,1,2,0,0,10,20,1.65,3.6,4.0,1.57,3.75,4.5,1219.34,1262.34
SC2,26/08/00,Stirling,Queens Park,0,1,A,0,1,A,753,Craig MacKay,9,11,3,6,0,0,3,9,12,19,1,4,2,1,1,0,45,10,2.35,3.5,2.35,2.37,3.5,2.37,1167.98,1286.68
SC2,26/08/00,Stranraer,Arbroath,2,1,H,1,0,H,395,George Clyde,7,7,3,4,0,0,1,11,10,12,12,4,2,2,0,1,20,45,2.0,3.4,3.0,2.25,3.5,2.5,1202.46,1219.69
SC2,09/09/00,Arbroath,Forfar,3,4,A,0,3,A,876,Craig MacKay,12,14,9,9,0,0,8,2,9,10,3,5,2,1,0,0,20,10,1.8,3.5,3.5,1.61,3.5,4.5,1210.11,1189.59
SC2,09/09/00,Berwick,Clydebank,3,1,H,0,0,D,482,Brian Cassidy,13,9,7,2,0,0,4,5,24,17,3,1,1,4,0,0,10,40,2.2,3.5,2.6,2.25,3.5,2.5,1264.37,1124.64
